"state","county","party","candidate","if_candidate_won_in_county","number_of_votes_in_county","all_county_votes_cast","all_possible_county_votes","number_of_wins_in_state","number_of_votes_in_state","all_possible_state_votes","if_candidate_won_in_state","cenzus_region","cenzus_subregion"
Colorado,Cheyenne County,IND,Brock Pierce,false,0,1136,1136,0,572,3256953,false,West,Mountain
Colorado,Clear Creek County,DEM,Joe Biden,true,3604,6548,6548,24,1804352,3256953,true,West,Mountain
Colorado,Clear Creek County,REP,Donald Trump,false,2754,6548,6548,40,1364607,3256953,false,West,Mountain
Colorado,Clear Creek County,LIB,Jo Jorgensen,false,113,6548,6548,0,52460,3256953,false,West,Mountain
Colorado,Clear Creek County,GRN,Howie Hawkins,false,23,6548,6548,0,8986,3256953,false,West,Mountain
Colorado,Clear Creek County,CST,Don Blankenship,false,10,6548,6548,0,5061,3256953,false,West,Mountain
Colorado,Clear Creek County,IND,Kanye West,false,10,6548,6548,0,8089,3256953,false,West,Mountain
Colorado,Clear Creek County,IND,Mark Charles,false,7,6548,6548,0,2011,3256953,false,West,Mountain
Colorado,Clear Creek County,PRG,Dario Hunter,false,5,6548,6548,0,379,3256953,false,West,Mountain
Colorado,Clear Creek County,ASP,Brian Carroll,false,5,6548,6548,0,2516,3256953,false,West,Mountain
Colorado,Clear Creek County,PRO,Phil Collins,false,3,6548,6548,0,568,3256953,false,West,Mountain
Colorado,Clear Creek County,UTY,Bill Hammons,false,3,6548,6548,0,2730,3256953,false,West,Mountain
Colorado,Clear Creek County,UNA,Joe McHugh,false,3,6548,6548,0,614,3256953,false,West,Mountain
Colorado,Clear Creek County,ALI,Rocky De La Fuente,false,2,6548,6548,0,636,3256953,false,West,Mountain
Colorado,Clear Creek County,PSL,Gloria La Riva,false,2,6548,6548,0,1035,3256953,false,West,Mountain
Colorado,Clear Creek County,SEP,Joseph Kishore,false,1,6548,6548,0,196,3256953,false,West,Mountain
Colorado,Clear Creek County,APV,Blake Huber,false,1,6548,6548,0,355,3256953,false,West,Mountain
Colorado,Clear Creek County,IAP,Kyle Kopitke,false,1,6548,6548,0,762,3256953,false,West,Mountain
Colorado,Clear Creek County,UNA,Princess Jacob-Fambro,false,1,6548,6548,0,495,3256953,false,West,Mountain
Colorado,Clear Creek County,IND,Brock Pierce,false,0,6548,6548,0,572,3256953,false,West,Mountain
Colorado,Clear Creek County,UNA,Jordan Scott,false,0,6548,6548,0,175,3256953,false,West,Mountain
Colorado,Clear Creek County,SWP,Alyson Kennedy,false,0,6548,6548,0,354,3256953,false,West,Mountain
Colorado,Clear Creek County,WRI, Write-ins,false,0,6548,6548,0,0,3256953,false,West,Mountain
Colorado,Conejos County,REP,Donald Trump,true,2286,4333,4333,40,1364607,3256953,false,West,Mountain
Colorado,Conejos County,DEM,Joe Biden,false,1959,4333,4333,24,1804352,3256953,true,West,Mountain
Colorado,Conejos County,LIB,Jo Jorgensen,false,34,4333,4333,0,52460,3256953,false,West,Mountain
Colorado,Conejos County,CST,Don Blankenship,false,15,4333,4333,0,5061,3256953,false,West,Mountain
Colorado,Conejos County,IND,Kanye West,false,10,4333,4333,0,8089,3256953,false,West,Mountain
Colorado,Conejos County,GRN,Howie Hawkins,false,9,4333,4333,0,8986,3256953,false,West,Mountain
Colorado,Conejos County,IND,Mark Charles,false,5,4333,4333,0,2011,3256953,false,West,Mountain
Colorado,Conejos County,ALI,Rocky De La Fuente,false,4,4333,4333,0,636,3256953,false,West,Mountain
Colorado,Conejos County,UNA,Princess Jacob-Fambro,false,2,4333,4333,0,495,3256953,false,West,Mountain
Colorado,Conejos County,UNA,Joe McHugh,false,2,4333,4333,0,614,3256953,false,West,Mountain
Colorado,Conejos County,PSL,Gloria La Riva,false,2,4333,4333,0,1035,3256953,false,West,Mountain
Colorado,Conejos County,ASP,Brian Carroll,false,2,4333,4333,0,2516,3256953,false,West,Mountain
Colorado,Conejos County,UTY,Bill Hammons,false,1,4333,4333,0,2730,3256953,false,West,Mountain
Colorado,Conejos County,SEP,Joseph Kishore,false,1,4333,4333,0,196,3256953,false,West,Mountain
Colorado,Conejos County,PRO,Phil Collins,false,1,4333,4333,0,568,3256953,false,West,Mountain
Colorado,Conejos County,SWP,Alyson Kennedy,false,0,4333,4333,0,354,3256953,false,West,Mountain
Colorado,Conejos County,IND,Brock Pierce,false,0,4333,4333,0,572,3256953,false,West,Mountain
Colorado,Conejos County,APV,Blake Huber,false,0,4333,4333,0,355,3256953,false,West,Mountain
Colorado,Conejos County,WRI, Write-ins,false,0,4333,4333,0,0,3256953,false,West,Mountain
Colorado,Conejos County,IAP,Kyle Kopitke,false,0,4333,4333,0,762,3256953,false,West,Mountain
Colorado,Conejos County,PRG,Dario Hunter,false,0,4333,4333,0,379,3256953,false,West,Mountain
Colorado,Conejos County,UNA,Jordan Scott,false,0,4333,4333,0,175,3256953,false,West,Mountain
Colorado,Costilla County,DEM,Joe Biden,true,1311,2094,2094,24,1804352,3256953,true,West,Mountain
